Trait1	Trait2	pval	BH	rho	order1	order2	order_var1	order_var2	BH.NA
B4	A1	0.345968389	0.49807468	0.016662858	1	68	x001_B4	x068_A1	NA
B4	A10	0.275404614	0.418152041	-0.019283773	1	91	x001_B4	x091_A10	NA
B4	A11	0.005874123	0.014263008	0.048679683	1	80	x001_B4	x080_A11	0.014263008
B4	A12	0.055382437	0.110500313	0.03386623	1	98	x001_B4	x098_A12	NA
B4	A13	0.769542835	0.855602615	0.005180258	1	85	x001_B4	x085_A13	NA
B4	A14	0.379153061	0.531452561	-0.015549471	1	95	x001_B4	x095_A14	NA
B4	A15	0.878775964	0.92384269	-0.002696845	1	81	x001_B4	x081_A15	NA
B4	A16	0.879766959	0.924487803	0.002674629	1	94	x001_B4	x094_A16	NA
B4	A17	0.383921355	0.536755719	-0.015394534	1	79	x001_B4	x079_A17	NA
B4	A18	0.425114669	0.575478284	0.014101948	1	99	x001_B4	x099_A18	NA
B4	A19	0.350939555	0.502479731	-0.016491916	1	82	x001_B4	x082_A19	NA
B4	A2	0.008689148	0.020557002	-0.046372972	1	100	x001_B4	x100_A2	0.020557002
B4	A20	0.264027004	0.404715389	0.019747309	1	96	x001_B4	x096_A20	NA
B4	A3	0.10965455	0.199259699	-0.028280785	1	69	x001_B4	x069_A3	NA
B4	A4	0.001180919	0.003145096	-0.057302937	1	92	x001_B4	x092_A4	0.003145096
B4	A5	0.001656787	0.004342999	0.055579036	1	101	x001_B4	x101_A5	0.004342999
B4	A6	0.382451969	0.535075741	0.015442153	1	97	x001_B4	x097_A6	NA
B4	A7	0.815340528	0.883899903	0.004129429	1	84	x001_B4	x084_A7	NA
B4	A8	0.08512557	0.161496137	-0.030435562	1	93	x001_B4	x093_A8	NA
B4	A9	0.160787023	0.272139527	-0.024793686	1	83	x001_B4	x083_A9	NA
B4	B1	3.66E-06	1.20E-05	-0.081730433	1	26	x001_B4	x026_B1	0.000012
B4	B10	0	0	0.314438105	1	2	x001_B4	x002_B10	0
B4	B11	0	0	-0.166025057	1	6	x001_B4	x006_B11	0
B4	B12	0.001810576	0.004719304	0.05511938	1	14	x001_B4	x014_B12	0.004719304
B4	B13	1.64E-09	6.46E-09	-0.106326766	1	9	x001_B4	x009_B13	6.46E-09
B4	B14	0	0	0.258221298	1	4	x001_B4	x004_B14	0
B4	B15	0.751643474	0.842736168	0.005595774	1	15	x001_B4	x015_B15	NA
B4	B16	0	0	0.161723897	1	16	x001_B4	x016_B16	0
B4	B17	1.24E-05	3.92E-05	-0.07715553	1	7	x001_B4	x007_B17	0.0000392
B4	B18	1.09E-07	3.91E-07	0.093696259	1	17	x001_B4	x017_B18	0.000000391
B4	B19	0.000323346	0.00091523	-0.063516781	1	10	x001_B4	x010_B19	0.00091523
B4	B2	2.19E-05	6.80E-05	0.074952736	1	25	x001_B4	x025_B2	0.000068
B4	B20	0	0	0.170409426	1	8	x001_B4	x008_B20	0
B4	B3	0	0	0.207447469	1	23	x001_B4	x023_B3	0
B4	B4	NA	NA	1	1	1	x001_B4	x001_B4	NA
B4	B5	0	0	-0.149244785	1	5	x001_B4	x005_B5	0
B4	B6	6.24E-11	2.62E-10	0.115217686	1	13	x001_B4	x013_B6	2.62E-10
B4	B7	0	0	-0.168443158	1	11	x001_B4	x011_B7	0
B4	B8	0	0	0.434808344	1	3	x001_B4	x003_B8	0
B4	B9	0.028895505	0.06204461	-0.038618747	1	12	x001_B4	x012_B9	NA
B4	C1	0	0	-0.147070721	1	21	x001_B4	x021_C1	0
B4	C10	0	0	-0.187547982	1	30	x001_B4	x030_C10	0
B4	C11	0.003636558	0.009080035	-0.051386151	1	35	x001_B4	x035_C11	0.009080035
B4	C12	0.000242108	0.000692481	-0.064832218	1	29	x001_B4	x029_C12	0.000692481
B4	C13	5.39E-06	1.75E-05	0.080303758	1	33	x001_B4	x033_C13	0.0000175
B4	C14	5.41E-06	1.76E-05	-0.08029066	1	31	x001_B4	x031_C14	0.0000176
B4	C15	0.004389343	0.010859214	0.050338868	1	40	x001_B4	x040_C15	0.010859214
B4	C16	0.421216197	0.572206469	-0.014220995	1	37	x001_B4	x037_C16	NA
B4	C17	4.44E-05	0.000135065	-0.072105676	1	39	x001_B4	x039_C17	0.000135065
B4	C18	1.05E-12	4.77E-12	-0.125461072	1	36	x001_B4	x036_C18	4.77E-12
B4	C19	0.067881338	0.132341015	0.032274935	1	41	x001_B4	x041_C19	NA
B4	C2	0	0	0.304426789	1	19	x001_B4	x019_C2	0
B4	C20	0.001482847	0.003907547	0.05614882	1	38	x001_B4	x038_C20	0.003907547
B4	C3	0	0	0.195489109	1	22	x001_B4	x022_C3	0
B4	C4	0	0	-0.173799455	1	20	x001_B4	x020_C4	0
B4	C5	0	0	-0.263451487	1	24	x001_B4	x024_C5	0
B4	C6	1.81E-08	6.79E-08	-0.099281654	1	18	x001_B4	x018_C6	6.79E-08
B4	C7	0	0	0.19920297	1	34	x001_B4	x034_C7	0
B4	C8	0.915771791	0.946141179	-0.001870049	1	28	x001_B4	x028_C8	NA
B4	C9	0.007464758	0.017907653	0.047278881	1	32	x001_B4	x032_C9	0.017907653
B4	D1	0.315349877	0.465207042	-0.017752197	1	51	x001_B4	x051_D1	NA
B4	D10	0.004906999	0.012051396	-0.049709544	1	77	x001_B4	x077_D10	0.012051396
B4	D11	0.134764932	0.235681379	-0.026439823	1	88	x001_B4	x088_D11	NA
B4	D12	0.676512831	0.787447609	0.007377219	1	76	x001_B4	x076_D12	NA
B4	D13	0.008085598	0.019220128	0.046804167	1	90	x001_B4	x090_D13	0.019220128
B4	D14	0.520993577	0.663414719	-0.011348081	1	78	x001_B4	x078_D14	NA
B4	D15	0.502926595	0.645998521	0.011844492	1	105	x001_B4	x105_D15	NA
B4	D16	0.108472526	0.197417363	-0.028375307	1	109	x001_B4	x109_D16	NA
B4	D17	0.183372523	0.303427622	0.023521382	1	106	x001_B4	x106_D17	NA
B4	D18	0.088707832	0.167128678	-0.030092116	1	108	x001_B4	x108_D18	NA
B4	D19	0.375407693	0.527683264	0.015672011	1	107	x001_B4	x107_D19	NA
B4	D2	0.018250675	0.041055458	0.041719623	1	70	x001_B4	x070_D2	0.041055458
B4	D20	0.216258143	0.347206097	-0.021861646	1	110	x001_B4	x110_D20	NA
B4	D3	0.484542609	0.629054281	-0.012359383	1	50	x001_B4	x050_D3	NA
B4	D4	0.000194861	0.000563256	-0.065803736	1	102	x001_B4	x102_D4	0.000563256
B4	D5	0.810427207	0.880803319	0.004241405	1	103	x001_B4	x103_D5	NA
B4	D6	0.329263828	0.480042959	0.017249055	1	67	x001_B4	x067_D6	NA
B4	D7	0.56329328	0.698878685	-0.010219058	1	104	x001_B4	x104_D7	NA
B4	D8	0.400300917	0.553077668	0.014871067	1	75	x001_B4	x075_D8	NA
B4	D9	0.131908385	0.231863093	0.026635028	1	89	x001_B4	x089_D9	NA
B4	x1	0.014581626	0.03335248	0.04316958	1	59	x001_B4	x059_x1	0.03335248
B4	x10	0.551044223	0.688374686	-0.010541536	1	65	x001_B4	x065_x10	NA
B4	x11	0.002858648	0.007228004	0.052700117	1	27	x001_B4	x027_x11	0.007228004
B4	x12	0.969868491	0.981161257	-0.000667899	1	66	x001_B4	x066_x12	NA
B4	x13	0.003623832	0.009055804	-0.051405493	1	49	x001_B4	x049_x13	0.009055804
B4	x14	0.001463396	0.003859682	-0.056216318	1	73	x001_B4	x073_x14	0.003859682
B4	x15	0.002389104	0.006123419	-0.05366176	1	74	x001_B4	x074_x15	0.006123419
B4	x2	0.007843286	0.018718352	0.046985429	1	60	x001_B4	x060_x2	0.018718352
B4	x3	0.011702233	0.027149724	0.044553693	1	61	x001_B4	x061_x3	0.027149724
B4	x4	0.073213134	0.141129497	0.031669021	1	62	x001_B4	x062_x4	NA
B4	x5	0.378919177	0.531248939	0.015557101	1	57	x001_B4	x057_x5	NA
B4	x6	0.13379025	0.234455583	0.026506066	1	58	x001_B4	x058_x6	NA
B4	x7	0.040120951	0.083428161	0.036280002	1	71	x001_B4	x071_x7	NA
B4	x8	0.063083547	0.124525107	0.032854587	1	72	x001_B4	x072_x8	NA
B4	x9	0.013268091	0.030522719	0.043767873	1	48	x001_B4	x048_x9	0.030522719
B4	y1	0.030751076	0.065698229	0.038183723	1	44	x001_B4	x044_y1	NA
B4	y10	0.044787808	0.091733143	-0.035469905	1	63	x001_B4	x063_y10	NA
B4	y11	0.803017261	0.876404239	0.004410603	1	52	x001_B4	x052_y11	NA
