plant	species	class	ontogeny	total	heteroblasty	V1	V2
Pact1	actinia	E	10	17	8	2.100533625	3.212301822
Pact1	actinia	E	11	17	7	9.530619024	-15.8559521
Pact1	actinia	E	12	17	6	1.888720292	2.129575927
Pact1	actinia	E	13	17	5	11.97230421	-13.86558181
Pact1	actinia	E	14	17	4	10.191013	-15.20087705
Pact1	actinia	E	15	17	3	9.535190648	-7.91222749
Pact1	actinia	E	16	17	2	6.788922313	6.131500498
Pact1	actinia	E	17	17	1	7.498497947	-1.59724224
Pact1	actinia	E	2	17	16	7.446517961	-10.26972392
Pact1	actinia	E	3	17	15	2.666375305	-6.622382936
Pact1	actinia	E	4	17	14	5.913480448	0.64879962
Pact1	actinia	E	5	17	13	6.690550519	-5.836607455
Pact1	actinia	E	6	17	12	10.42275238	-14.98104041
Pact1	actinia	E	7	17	11	3.786073916	-10.01504058
Pact1	actinia	E	8	17	10	3.547405962	-9.334860328
Pact1	actinia	E	9	17	9	12.83953202	-5.836472179
Pact2	actinia	E	1	14	14	8.541741093	-10.67107795
Pact2	actinia	E	10	14	5	7.730883181	-16.58666832
Pact2	actinia	E	11	14	4	6.18234559	-9.151202462
Pact2	actinia	E	12	14	3	6.379192627	-8.934192269
Pact2	actinia	E	13	14	2	1.950916097	-10.82329495
Pact2	actinia	E	14	14	1	-0.512946726	24.18395369
Pact2	actinia	E	2	14	13	16.74575837	-1.249577927
Pact2	actinia	E	3	14	12	6.102486959	-9.197163104
Pact2	actinia	E	4	14	11	4.06871184	-8.807030829
Pact2	actinia	E	5	14	10	3.321563712	-10.73008844
Pact2	actinia	E	6	14	9	10.94916075	-14.56414848
Pact2	actinia	E	7	14	8	7.684896114	-13.45046406
Pact2	actinia	E	8	14	7	9.114295943	-15.7771411
Pact2	actinia	E	9	14	6	3.975983543	-8.724458034
Pact3	actinia	E	10	23	14	9.057632739	-16.88604716
Pact3	actinia	E	11	23	13	7.145833682	-1.135208885
Pact3	actinia	E	12	23	12	7.634019241	-10.1859777
Pact3	actinia	E	13	23	11	2.882708694	4.168609166
Pact3	actinia	E	14	23	10	2.980868622	2.78554945
Pact3	actinia	E	15	23	9	2.46511325	3.724084032
Pact3	actinia	E	16	23	8	4.07699615	1.861682615
Pact3	actinia	E	17	23	7	3.468482202	2.472560889
Pact3	actinia	E	18	23	6	11.11040312	-4.285749504
Pact3	actinia	E	19	23	5	11.49752111	6.31131509
Pact3	actinia	E	2	23	22	22.82335526	-9.679332422
Pact3	actinia	E	20	23	4	10.87803131	-4.238088355
