plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero	zeroV1start	zeroV2start	zeroV1end	zeroV2end
Pbif1	biflora	B	13	2.494467787	-10.95921123	1.141297354	-23.60161022	1	7	0	0	-1.353170433	-12.64239899
Pcor1	coriacea	A	7	10.06781077	7.309918344	-16.66535455	-31.23229604	1	7	0	0	-26.73316532	-38.54221438
Pcor2	coriacea	A	7	8.480256349	4.710360725	-17.09771369	-31.35297589	1	7	0	0	-25.57797004	-36.06333662
Psub2	suberosa	C	7	3.489891044	-2.807541868	-34.41072747	12.94082946	1	7	0	0	-37.90061851	15.74837133
Psub3	suberosa	C	7	-7.042468935	3.986186584	-30.095214	-5.368742683	1	7	0	0	-23.05274507	-9.354929267
Pnit1	nitida	F	8	7.531397327	30.01440934	12.961514	14.62994869	1	8	0	0	5.430116673	-15.38446065
Ptlo2	triloba	E	8	36.53853152	12.30917187	36.19836688	15.08480131	1	8	0	0	-0.34016464	2.77562944
Pmal2	malacophylla	G	10	1.02982209	21.64872482	31.55901038	5.856926028	1	9	0	0	30.52918829	-15.79179879
Pmal3	malacophylla	G	9	14.3516827	5.525563553	31.59882384	5.894527176	1	9	0	0	17.24714114	0.368963623
Pmic6	micropetala	B	9	0.818622332	-14.09176969	-4.252961678	-18.01665824	1	9	0	0	-5.07158401	-3.92488855
Pmin1	miniata	G	9	4.909957041	16.68523102	18.15573036	17.44133107	1	9	0	0	13.24577332	0.75610005
Pmin2	miniata	G	9	3.996933061	23.83337607	30.19523009	8.258058128	1	9	0	0	26.19829703	-15.57531794
Pmol2	mollissima	C	9	-1.39326427	-4.567892004	-33.72081469	12.48359212	1	9	0	0	-32.32755042	17.05148412
Prub1	rubra	B	10	-0.433293982	24.20366483	12.80465354	-30.7712739	1	9	0	0	13.23794752	-54.97493873
Pala4	alata	F	11	-9.054150871	21.95782281	13.49701044	12.74040172	1	10	0	0	22.55116131	-9.21742109
Pcor12	coriacea	A	10	-10.34631827	23.34104289	-12.77317384	-30.88882028	1	10	0	0	-2.42685557	-54.22986317
Phat4	hatschbachii	C	10	-19.67717457	-4.371295364	-34.76462028	14.55391971	1	10	0	0	-15.08744571	18.92521507
Phat6	hatschbachii	C	10	-13.05752031	-12.76242342	-28.90639245	17.60503029	1	10	0	0	-15.84887214	30.36745371
Plig1	ligularis	F	10	12.3114256	8.315804218	32.8141617	8.789652164	1	10	0	0	20.5027361	0.473847946
Plig2	ligularis	F	10	-0.667785704	13.56273152	31.66848169	11.1467901	1	10	0	0	32.33626739	-2.41594142
Plig6	ligularis	F	10	33.98762875	8.242893538	33.87502217	11.15260139	1	10	0	0	-0.11260658	2.909707852
Pmaf1	maliformis	G	10	10.90256131	12.04739757	27.70543257	9.248839192	1	10	0	0	16.80287126	-2.798558378
Pmic3	micropetala	B	10	-0.555138756	-16.280113	-1.630167336	-20.58880977	1	10	0	0	-1.07502858	-4.30869677
Pmic4	micropetala	B	10	-2.862604939	-14.76761012	-0.743459003	-20.26168204	1	10	0	0	2.119145936	-5.49407192
Pnit2	nitida	F	10	5.549203668	25.30389184	23.18462886	13.94678553	1	10	0	0	17.63542519	-11.35710631
Prub2	rubra	B	10	9.514581343	9.563913999	13.86529596	-26.88947686	1	10	0	0	4.350714617	-36.45339086
Prub3	rubra	B	10	17.03024021	-26.09966768	11.25742355	-30.45710474	1	10	0	0	-5.77281666	-4.35743706
Prub6	rubra	B	10	10.19050208	-16.73331826	12.42320183	-25.30921388	1	10	0	0	2.23269975	-8.57589562
